studio,primary_genre,genre_count,source_material,demographic,episodes,episode_length_min,animation_budget_tier,marketing_spend_tier,voice_cast_popularity,director_experience_years,studio_prior_hits,release_season,release_year,has_sequel_potential_arc,mal_rating,popularity_score,success_tier
Pierrot,Action,2,Manga,Shounen,13,12,Low,Medium,3.73,1.3,5,Summer,2022,1,8.65,89.4,Hit
J.C.Staff,Isekai,3,Original,Seinen,100,24,Medium,High,2.22,8.2,4,Winter,2021,0,6.72,70.7,Average
Toei Animation,Horror,3,Light Novel,Shounen,13,24,Medium,Low,3.98,7.4,5,Fall,2017,0,4.48,38.2,Flop
Lerche,Horror,2,Manga,Seinen,50,24,High,Low,1.44,10.3,1,Summer,2024,1,4.2,48.0,Flop
Lerche,Drama,1,Manga,Seinen,100,24,Low,Low,3.03,1.1,1,Fall,2016,1,2.53,38.4,Flop
CloverWorks,Sports,1,Manga,Shounen,24,12,Low,Low,6.54,9.9,5,Fall,2018,1,7.54,64.4,Average
Lerche,Drama,3,Light Novel,Shounen,13,12,Medium,Medium,1.12,7.1,6,Summer,2016,1,5.27,39.2,Flop
Zero-G,Isekai,1,Original,Seinen,26,12,Low,Low,3.89,8.5,4,Fall,2022,1,4.79,35.8,Flop
Trigger,Adventure,1,Manga,Shounen,24,12,Low,High,5.37,3.6,5,Summer,2018,0,8.04,73.1,Hit
ufotable,Horror,1,Original,Seinen,25,24,Medium,High,5.71,0.1,6,Summer,2023,1,10.0,100.0,Hit
Sunrise,Action,2,Web Novel,Seinen,12,24,Low,Medium,4.84,9.4,7,Winter,2018,0,5.87,68.1,Average
Silver Link,Fantasy,3,Light Novel,Seinen,12,24,Low,Medium,2.38,6.2,5,Winter,2019,1,5.76,38.2,Flop
Doga Kobo,Psychological,2,Web Novel,Shounen,50,12,Low,Medium,2.63,12.2,5,Summer,2022,0,4.29,62.1,Flop
Lerche,Sports,1,Light Novel,Shoujo,12,24,Low,Low,5.1,5.7,3,Summer,2017,1,4.5,37.0,Flop
Doga Kobo,Adventure,1,Original,Shounen,13,24,Medium,High,3.36,9.5,6,Fall,2024,1,5.44,70.1,Average
Pierrot,Sports,2,Original,Seinen,24,24,Medium,Medium,4.06,5.6,7,Summer,2017,0,5.18,48.2,Flop
Diomedea,Isekai,1,Manga,Shoujo,12,24,Low,Medium,3.22,4.9,3,Winter,2015,1,5.65,47.2,Flop
J.C.Staff,Sports,1,Manga,Seinen,26,24,Medium,Low,4.25,7.9,5,Summer,2018,1,6.56,59.2,Average
Madhouse,Adventure,2,Original,Seinen,12,24,Low,Medium,8.2,3.6,6,Winter,2019,0,10.0,100.0,Hit
Pierrot,Psychological,3,Original,Shoujo,13,24,Medium,Medium,4.9,15.1,4,Winter,2022,0,5.69,55.8,Average
Toei Animation,Horror,2,Manga,Shounen,12,12,Medium,Low,2.73,5.0,6,Fall,2018,0,5.86,49.9,Average
Lerche,Adventure,2,Web Novel,Shoujo,24,24,High,Low,1.7,11.8,4,Fall,2016,0,6.5,59.3,Average
WIT Studio,Comedy,3,Game,Shounen,12,24,Medium,Medium,6.51,10.1,13,Fall,2015,1,7.24,76.4,Hit
Silver Link,Sci-Fi,1,Web Novel,Seinen,13,24,Medium,Low,5.54,0.0,6,Fall,2023,0,4.65,54.4,Flop
Kyoto Animation,Horror,3,Web Novel,Shoujo,12,24,Low,Low,7.55,11.7,10,Winter,2023,1,7.24,72.3,Hit
Bones,Adventure,1,Manga,Shounen,50,24,Medium,Medium,6.67,11.4,8,Winter,2019,1,10.0,100.0,Hit
WIT Studio,Fantasy,2,Light Novel,Shounen,24,24,Low,Low,9.44,10.1,7,Spring,2017,0,7.88,81.4,Hit
Trigger,Drama,1,Light Novel,Seinen,24,24,Low,Medium,9.39,7.0,6,Fall,2020,0,6.93,64.1,Average
Bones,Fantasy,3,Manga,Seinen,12,24,High,Low,3.61,4.4,7,Summer,2023,1,8.26,82.1,Hit
Silver Link,Action,1,Light Novel,Seinen,26,24,High,Low,4.33,9.9,7,Summer,2018,0,6.68,68.7,Average
Toei Animation,Psychological,2,Manga,Shounen,13,24,High,Low,6.17,7.7,4,Summer,2016,0,6.22,44.4,Average
Diomedea,Sci-Fi,2,Light Novel,Seinen,13,12,High,High,1.0,11.8,4,Summer,2024,1,7.28,88.3,Hit
Production I.G,Sports,1,Light Novel,Shoujo,26,24,Medium,Low,7.36,10.0,7,Winter,2019,0,10.0,94.6,Hit
Zero-G,Mystery,2,Game,Seinen,12,24,High,Medium,3.86,8.8,0,Spring,2021,0,6.35,65.5,Average
ufotable,Slice of Life,3,Manga,Shounen,12,24,Medium,High,5.05,7.7,4,Fall,2020,0,9.39,87.9,Hit
Production I.G,Adventure,2,Manga,Shounen,12,24,High,Low,3.79,12.2,10,Fall,2023,1,9.67,90.5,Hit
MAPPA,Psychological,1,Light Novel,Shounen,12,12,High,High,7.74,11.6,10,Fall,2017,1,10.0,100.0,Hit
Pierrot,Romance,2,Manga,Shounen,50,24,Medium,Medium,3.44,6.9,3,Winter,2020,1,5.7,62.8,Average
Silver Link,Sci-Fi,2,Web Novel,Seinen,26,24,Low,Medium,3.87,0.0,10,Fall,2019,1,5.47,79.5,Average
WIT Studio,Mystery,2,Manga,Seinen,24,24,Low,High,4.99,6.1,10,Spring,2016,0,9.62,100.0,Hit
Production I.G,Supernatural,1,Visual Novel,Shounen,13,12,Medium,Medium,4.38,6.4,5,Spring,2019,0,9.31,87.0,Hit
Sunrise,Romance,3,Manga,Josei,12,24,Medium,Low,4.81,10.8,4,Spring,2020,0,4.44,49.3,Flop
A-1 Pictures,Psychological,1,Light Novel,Shoujo,26,24,Medium,Low,7.12,10.5,9,Winter,2024,0,5.97,53.5,Average
Silver Link,Adventure,2,Manga,Seinen,12,24,Medium,Medium,4.48,3.9,4,Summer,2021,0,3.92,33.3,Flop
Diomedea,Fantasy,2,Light Novel,Shounen,12,24,Medium,Low,3.48,5.8,4,Spring,2016,1,5.13,63.3,Average
Diomedea,Horror,1,Web Novel,Josei,50,24,Medium,High,4.19,8.9,4,Summer,2016,1,2.89,39.5,Flop
Trigger,Romance,1,Light Novel,Josei,24,24,Low,Low,6.84,7.7,3,Spring,2018,0,7.01,86.6,Hit
Bones,Action,1,Manga,Seinen,12,24,Medium,Medium,4.97,5.2,5,Spring,2017,0,7.77,88.7,Hit
Sunrise,Sci-Fi,1,Light Novel,Josei,12,24,Medium,High,2.26,17.1,4,Spring,2015,0,6.9,53.0,Average
Toei Animation,Fantasy,2,Original,Seinen,13,24,Medium,Medium,5.95,7.0,17,Fall,2020,0,9.05,82.9,Hit
Madhouse,Sports,1,Manga,Shoujo,24,24,Medium,Medium,7.08,12.6,10,Winter,2016,0,8.99,100.0,Hit
Kyoto Animation,Isekai,1,Manga,Shounen,12,24,Medium,Low,7.14,4.3,5,Winter,2020,1,6.07,56.2,Average
A-1 Pictures,Supernatural,3,Manga,Shounen,13,24,Low,Low,5.48,8.3,8,Spring,2020,0,7.89,99.8,Hit
Production I.G,Horror,1,Light Novel,Shounen,12,12,Low,Low,6.94,9.3,7,Winter,2015,0,8.2,97.4,Hit
Trigger,Romance,2,Web Novel,Seinen,13,24,Medium,High,8.93,6.4,3,Fall,2022,0,9.87,100.0,Hit
Studio Deen,Supernatural,1,Web Novel,Shounen,50,24,Medium,Low,3.85,10.8,9,Fall,2015,1,7.34,82.1,Hit
Diomedea,Isekai,2,Light Novel,Seinen,26,24,Low,Medium,3.47,4.6,6,Spring,2016,1,5.0,50.1,Flop
Lerche,Mystery,1,Manga,Shounen,12,24,Medium,Low,2.68,5.1,5,Summer,2023,0,3.7,26.0,Flop
J.C.Staff,Fantasy,3,Light Novel,Shounen,12,24,Medium,Low,2.84,14.0,6,Summer,2017,1,7.22,55.2,Average
Bones,Fantasy,1,Manga,Seinen,100,24,Medium,High,7.39,8.7,5,Summer,2024,0,7.89,82.2,Hit
CloverWorks,Horror,3,Manga,Shoujo,100,12,Low,Low,5.6,7.4,6,Spring,2017,1,4.98,46.0,Flop
WIT Studio,Psychological,3,Manga,Shounen,26,24,High,Medium,6.77,13.6,12,Spring,2023,1,10.0,99.5,Hit
Sunrise,Romance,3,Light Novel,Shounen,24,24,Medium,High,3.89,9.9,4,Spring,2021,0,7.68,100.0,Hit
Bones,Comedy,2,Light Novel,Shounen,13,24,Medium,Medium,6.89,11.7,5,Spring,2020,0,9.06,79.3,Hit
Madhouse,Sports,2,Manga,Shounen,50,24,Low,Low,3.58,10.6,6,Fall,2021,1,7.51,82.5,Hit
Studio Deen,Drama,3,Manga,Shoujo,12,24,Low,Medium,4.69,5.0,4,Summer,2019,0,5.66,57.1,Average
A-1 Pictures,Psychological,2,Light Novel,Shounen,24,24,Low,Medium,8.06,4.0,6,Fall,2016,0,8.61,61.8,Hit
Diomedea,Sci-Fi,2,Light Novel,Seinen,12,24,Medium,Low,3.1,4.3,4,Summer,2021,1,3.51,15.0,Flop
A-1 Pictures,Mystery,3,Manga,Shounen,12,24,High,Medium,5.95,16.9,12,Spring,2022,1,9.96,100.0,Hit
Zero-G,Psychological,3,Web Novel,Shoujo,24,12,Low,High,3.17,9.2,2,Winter,2019,0,6.47,67.4,Average
Toei Animation,Isekai,3,Original,Shounen,12,24,Low,Medium,1.0,12.8,5,Winter,2019,0,6.2,67.4,Average
Pierrot,Comedy,1,Game,Shounen,12,24,Medium,High,6.9,10.9,9,Summer,2024,1,9.55,82.9,Hit
Production I.G,Horror,1,Manga,Shounen,12,12,Medium,Medium,5.13,17.5,3,Fall,2016,1,6.56,74.3,Average
Toei Animation,Sci-Fi,1,Light Novel,Seinen,26,24,High,Medium,4.34,4.5,7,Summer,2023,0,8.2,83.2,Hit
ufotable,Adventure,2,Web Novel,Shounen,50,24,Low,Medium,6.56,13.9,15,Fall,2017,0,10.0,100.0,Hit
Kyoto Animation,Psychological,3,Manga,Shoujo,13,24,Low,Medium,9.22,7.7,10,Spring,2018,0,10.0,100.0,Hit
MAPPA,Fantasy,2,Visual Novel,Shounen,12,24,Medium,Medium,4.31,7.9,8,Spring,2015,1,9.66,100.0,Hit
MAPPA,Comedy,1,Light Novel,Seinen,26,24,Low,Medium,6.37,6.3,7,Winter,2024,0,8.56,98.2,Hit
Madhouse,Mystery,3,Light Novel,Seinen,13,12,High,Low,6.58,8.3,14,Spring,2020,0,10.0,88.9,Hit
Production I.G,Isekai,3,Game,Seinen,26,12,Medium,Medium,4.87,9.0,7,Summer,2023,0,7.55,96.7,Hit
MAPPA,Sci-Fi,1,Manga,Shounen,12,12,Low,Low,5.96,5.0,8,Winter,2022,1,7.0,92.7,Hit
WIT Studio,Action,3,Original,Shoujo,24,24,Low,Low,5.23,12.7,4,Winter,2020,1,8.21,64.4,Hit
CloverWorks,Action,3,Light Novel,Seinen,13,12,Low,Medium,5.74,15.2,9,Winter,2021,0,7.11,70.7,Average
Toei Animation,Horror,1,Visual Novel,Shounen,13,24,High,Medium,4.7,1.7,8,Summer,2024,0,9.96,92.5,Hit
Bones,Mystery,1,Manga,Seinen,24,24,Medium,Low,4.53,8.4,9,Spring,2022,1,10.0,94.1,Hit
Silver Link,Adventure,2,Light Novel,Shounen,26,24,Medium,Medium,4.24,10.0,2,Winter,2016,1,6.76,45.2,Average
Pierrot,Action,3,Manga,Shoujo,100,12,Low,Medium,7.18,12.7,7,Winter,2022,0,4.37,42.2,Flop
Diomedea,Horror,1,Original,Shounen,26,12,High,Medium,3.3,7.2,3,Winter,2017,0,5.29,43.1,Flop
WIT Studio,Fantasy,2,Manga,Shounen,50,24,Low,High,6.77,0.5,8,Summer,2016,0,9.06,85.9,Hit
Toei Animation,Horror,1,Visual Novel,Shounen,13,24,Low,Low,5.55,7.6,6,Winter,2016,1,8.92,73.7,Hit
Kyoto Animation,Comedy,3,Light Novel,Shoujo,13,24,Medium,High,7.98,8.5,5,Fall,2020,1,10.0,97.7,Hit
MAPPA,Drama,2,Web Novel,Shounen,13,24,Medium,Medium,4.99,0.0,7,Winter,2018,0,9.97,94.8,Hit
Diomedea,Fantasy,3,Light Novel,Shounen,24,24,Low,High,2.63,9.2,1,Spring,2017,1,4.36,70.1,Flop
Trigger,Action,2,Original,Josei,12,24,Medium,Medium,6.1,8.2,9,Winter,2015,1,10.0,96.9,Hit
Doga Kobo,Romance,3,Web Novel,Josei,24,24,Medium,Medium,6.39,3.5,12,Spring,2015,1,8.65,78.4,Hit
MAPPA,Sports,1,Light Novel,Seinen,24,24,Low,Medium,7.52,5.2,8,Summer,2017,1,7.89,59.1,Average
Production I.G,Mystery,3,Game,Shounen,24,24,Low,Low,6.43,10.8,6,Spring,2024,1,7.33,67.1,Average
Pierrot,Mystery,3,Manga,Shoujo,50,24,High,Low,4.82,9.8,8,Summer,2019,0,7.75,58.4,Average
Zero-G,Supernatural,3,Visual Novel,Shoujo,24,24,Low,Low,5.15,9.7,6,Summer,2021,0,3.71,22.2,Flop
CloverWorks,Mecha,2,Manga,Josei,13,24,High,Medium,6.22,9.8,6,Fall,2023,1,10.0,89.9,Hit
Diomedea,Mecha,1,Web Novel,Shounen,50,12,Low,Medium,2.56,13.4,5,Fall,2022,0,3.7,11.2,Flop
Silver Link,Fantasy,3,Light Novel,Seinen,12,12,Low,Medium,6.07,3.4,4,Fall,2023,0,5.31,54.0,Flop
MAPPA,Psychological,1,Light Novel,Shoujo,26,24,High,Low,7.05,5.8,11,Spring,2022,0,10.0,89.0,Hit
Zero-G,Romance,3,Visual Novel,Josei,100,24,Medium,Low,3.79,10.5,4,Spring,2023,1,5.93,52.0,Average
Madhouse,Drama,1,Web Novel,Shounen,26,12,Low,Medium,7.62,3.0,7,Winter,2019,1,7.35,68.0,Average
Lerche,Action,1,Light Novel,Shoujo,12,24,Low,Medium,3.83,9.3,3,Winter,2023,0,4.9,44.0,Flop
Zero-G,Action,1,Web Novel,Shounen,12,12,Medium,High,1.0,5.9,5,Winter,2023,1,5.16,43.5,Flop
Pierrot,Sports,3,Light Novel,Shounen,26,24,Low,Low,4.83,9.4,12,Fall,2018,0,6.87,64.2,Average
WIT Studio,Action,2,Original,Shoujo,12,24,Medium,Low,4.98,3.4,7,Fall,2016,1,10.0,100.0,Hit
Kyoto Animation,Isekai,3,Original,Shounen,24,24,Low,Low,6.04,13.2,7,Fall,2018,0,9.55,97.4,Hit
Production I.G,Adventure,2,Manga,Shounen,26,24,High,Medium,7.84,4.8,4,Fall,2017,0,10.0,77.9,Hit
Kyoto Animation,Supernatural,2,Manga,Josei,12,24,Medium,Low,7.71,7.9,4,Summer,2023,1,8.56,71.1,Hit
Trigger,Slice of Life,2,Visual Novel,Shounen,24,24,Medium,Medium,3.11,9.4,13,Summer,2015,1,8.7,75.8,Hit
WIT Studio,Slice of Life,2,Game,Shounen,13,24,Low,Low,6.46,4.0,6,Summer,2023,0,8.7,65.2,Hit
J.C.Staff,Mystery,3,Original,Seinen,12,24,Low,Medium,2.98,9.5,7,Summer,2021,1,7.54,65.5,Average
MAPPA,Mystery,1,Light Novel,Shounen,24,24,Low,Medium,6.55,11.4,9,Summer,2024,0,10.0,100.0,Hit
CloverWorks,Sports,1,Original,Shounen,26,24,Medium,Medium,5.57,0.6,12,Winter,2020,0,10.0,100.0,Hit
ufotable,Romance,2,Original,Seinen,50,24,High,Medium,7.57,11.8,8,Winter,2016,1,9.33,100.0,Hit
MAPPA,Action,1,Manga,Josei,50,24,Low,Medium,6.84,12.5,4,Spring,2018,1,5.94,78.1,Average
ufotable,Fantasy,1,Visual Novel,Seinen,13,24,Low,Low,7.55,12.4,17,Summer,2022,1,6.79,70.0,Average
A-1 Pictures,Slice of Life,2,Game,Shounen,26,24,High,Medium,4.77,7.3,7,Fall,2022,1,7.45,79.0,Hit
Madhouse,Romance,2,Web Novel,Shounen,24,24,High,Low,6.27,3.5,6,Spring,2015,0,9.9,94.0,Hit
Lerche,Supernatural,2,Manga,Shounen,50,12,Medium,Low,4.47,12.9,2,Fall,2015,0,7.83,79.7,Hit
Pierrot,Comedy,3,Original,Seinen,12,24,Medium,Low,4.19,6.5,8,Winter,2016,0,6.3,53.2,Average
Silver Link,Slice of Life,3,Manga,Shoujo,24,24,Medium,High,6.16,5.5,2,Summer,2022,0,6.38,52.6,Average
CloverWorks,Supernatural,3,Light Novel,Shounen,24,24,Medium,Medium,6.84,7.1,3,Fall,2018,0,6.89,48.3,Average
MAPPA,Psychological,2,Web Novel,Shounen,12,24,Low,Low,6.42,5.5,9,Spring,2019,0,7.89,66.5,Hit
WIT Studio,Mecha,1,Manga,Josei,24,24,High,Low,4.58,6.4,10,Winter,2021,1,9.12,97.1,Hit
A-1 Pictures,Sports,3,Web Novel,Seinen,24,12,High,Low,4.8,4.0,8,Spring,2023,1,8.38,91.6,Hit
Diomedea,Sci-Fi,3,Manga,Seinen,50,24,Medium,Low,2.29,5.8,2,Winter,2016,1,1.34,1.0,Flop
Production I.G,Sci-Fi,3,Light Novel,Shounen,24,12,High,Low,6.85,11.2,9,Summer,2023,0,10.0,100.0,Hit
Silver Link,Sports,1,Manga,Seinen,12,12,Low,Medium,3.15,8.6,6,Fall,2020,1,7.63,51.8,Average
Studio Deen,Supernatural,2,Visual Novel,Shounen,100,24,Medium,Medium,2.05,8.9,3,Spring,2023,1,6.52,60.4,Average
Sunrise,Drama,1,Light Novel,Seinen,24,24,Medium,Medium,5.21,3.6,4,Summer,2016,1,9.14,82.5,Hit
CloverWorks,Comedy,1,Light Novel,Shounen,50,12,High,High,9.99,7.4,6,Spring,2019,1,9.36,88.4,Hit
Toei Animation,Mecha,1,Original,Shounen,50,24,High,Low,4.94,12.2,4,Spring,2019,0,10.0,89.0,Hit
ufotable,Comedy,3,Manga,Shounen,13,12,Low,Medium,6.72,7.4,9,Spring,2022,0,9.66,100.0,Hit
J.C.Staff,Isekai,1,Light Novel,Shoujo,13,24,High,Medium,3.87,8.1,9,Fall,2022,1,8.12,69.1,Hit
Madhouse,Action,1,Manga,Shoujo,24,24,Low,Medium,4.86,10.7,5,Spring,2023,0,8.45,89.2,Hit
CloverWorks,Action,3,Visual Novel,Shoujo,24,12,Medium,Medium,7.8,7.5,3,Spring,2018,1,8.33,92.9,Hit
ufotable,Drama,2,Manga,Josei,50,24,High,High,8.08,4.1,14,Winter,2024,0,10.0,100.0,Hit
Trigger,Sports,1,Light Novel,Seinen,100,24,Low,Low,5.9,4.6,10,Winter,2022,0,8.28,85.7,Hit
Kyoto Animation,Fantasy,1,Game,Josei,12,24,Medium,Medium,5.67,4.4,11,Summer,2023,0,8.07,79.6,Hit
Silver Link,Adventure,3,Manga,Josei,12,24,Medium,Medium,3.54,8.3,5,Summer,2016,1,5.93,71.9,Average
Diomedea,Adventure,2,Web Novel,Shoujo,12,24,Medium,Medium,2.73,3.9,1,Spring,2016,1,2.61,32.2,Flop
Kyoto Animation,Supernatural,2,Manga,Seinen,12,24,Medium,Medium,4.63,0.5,9,Fall,2016,0,9.14,94.5,Hit
Trigger,Comedy,1,Manga,Seinen,26,24,High,Medium,6.98,8.0,6,Winter,2018,0,8.98,95.9,Hit
Doga Kobo,Comedy,2,Visual Novel,Shounen,12,24,High,High,1.96,14.3,3,Summer,2024,0,7.51,74.7,Hit
Bones,Supernatural,2,Manga,Seinen,12,24,Low,Medium,5.74,12.3,10,Fall,2016,1,6.2,78.6,Average
MAPPA,Horror,3,Game,Shounen,50,24,Low,Medium,8.96,10.6,7,Winter,2021,1,8.28,62.9,Hit
Lerche,Horror,2,Light Novel,Seinen,12,24,Medium,High,4.23,6.9,3,Winter,2016,0,5.79,44.0,Flop
CloverWorks,Adventure,3,Manga,Shoujo,50,24,Low,Low,6.46,12.4,5,Summer,2024,0,6.58,66.4,Average
J.C.Staff,Mystery,1,Light Novel,Seinen,26,24,Low,Medium,5.42,11.0,5,Winter,2018,1,4.66,60.9,Flop
Trigger,Comedy,1,Original,Shounen,24,24,Low,Low,8.31,0.5,12,Fall,2021,1,6.62,58.0,Average
Bones,Comedy,3,Game,Shoujo,12,24,Low,Medium,7.35,0.0,6,Winter,2022,1,6.46,71.0,Average
Production I.G,Action,1,Manga,Shoujo,12,24,High,Low,6.36,4.0,6,Winter,2018,0,9.12,81.5,Hit
Lerche,Adventure,3,Manga,Shounen,50,24,Medium,High,1.56,1.9,3,Summer,2021,0,6.04,72.3,Average
A-1 Pictures,Fantasy,1,Manga,Shounen,24,24,High,Low,3.63,9.9,4,Fall,2017,0,8.06,97.2,Hit
CloverWorks,Sci-Fi,1,Manga,Shounen,13,12,High,High,5.79,9.1,6,Fall,2019,1,9.77,84.6,Hit
Studio Deen,Isekai,1,Manga,Shoujo,12,24,Low,Low,4.68,12.0,5,Spring,2023,0,4.98,51.7,Flop
Silver Link,Sci-Fi,1,Light Novel,Shounen,12,12,Medium,Medium,5.68,12.6,5,Winter,2021,1,4.77,66.5,Average
J.C.Staff,Sci-Fi,1,Manga,Josei,12,24,High,Medium,5.81,11.7,7,Fall,2019,0,9.26,98.7,Hit
MAPPA,Drama,3,Game,Shounen,13,24,Low,Medium,5.12,12.2,8,Fall,2020,0,8.34,77.8,Hit
Diomedea,Comedy,2,Light Novel,Seinen,12,24,Medium,Low,1.92,7.4,3,Spring,2024,1,3.6,41.1,Flop
Madhouse,Fantasy,3,Light Novel,Seinen,100,24,High,Low,6.17,10.8,8,Winter,2023,1,9.9,89.3,Hit
Toei Animation,Romance,3,Web Novel,Shounen,12,24,Medium,Medium,5.31,12.0,8,Winter,2018,1,5.08,49.1,Flop
Zero-G,Sports,3,Light Novel,Shounen,100,24,Medium,Medium,3.85,7.9,6,Summer,2015,1,7.08,58.9,Average
Silver Link,Mecha,3,Manga,Seinen,12,24,Low,Low,6.37,12.4,4,Summer,2015,0,5.53,49.6,Flop
Bones,Mystery,1,Original,Shounen,24,24,Medium,Low,6.3,8.4,10,Spring,2016,0,9.46,98.6,Hit
ufotable,Psychological,2,Manga,Seinen,26,24,Medium,Low,7.57,5.9,7,Summer,2020,1,8.91,92.7,Hit
Doga Kobo,Romance,3,Game,Seinen,24,24,Low,High,4.32,14.7,7,Fall,2017,1,10.0,88.5,Hit
Production I.G,Mecha,2,Manga,Seinen,24,24,Medium,Low,2.63,9.5,4,Fall,2021,0,8.33,92.1,Hit
Lerche,Sci-Fi,1,Visual Novel,Shounen,50,12,Medium,Low,5.76,8.6,6,Fall,2019,0,5.34,38.1,Flop
Production I.G,Sci-Fi,1,Visual Novel,Shounen,12,24,Low,High,5.39,10.4,11,Fall,2019,1,8.64,88.4,Hit
Pierrot,Comedy,2,Original,Shounen,12,24,High,Medium,4.59,6.5,4,Summer,2020,0,9.8,90.5,Hit
CloverWorks,Horror,2,Manga,Shounen,50,24,Medium,Medium,9.15,9.6,5,Fall,2024,0,9.31,70.8,Hit
J.C.Staff,Adventure,1,Manga,Shounen,24,24,Low,Low,4.18,15.4,7,Winter,2017,1,6.77,58.7,Average
Sunrise,Horror,1,Light Novel,Shoujo,13,24,Low,Low,6.64,7.0,3,Winter,2021,0,4.73,57.7,Flop
Toei Animation,Supernatural,1,Manga,Shounen,50,24,High,High,7.36,3.4,3,Spring,2016,0,8.28,84.6,Hit
Sunrise,Slice of Life,1,Manga,Shounen,13,24,Medium,Medium,8.35,5.8,6,Spring,2017,0,6.25,62.5,Average
MAPPA,Mystery,1,Light Novel,Seinen,50,24,Medium,Low,6.16,6.2,8,Winter,2017,1,8.47,78.9,Hit
Studio Deen,Mecha,2,Original,Shoujo,12,24,Low,Medium,4.17,5.7,5,Fall,2024,1,4.59,74.3,Average
MAPPA,Sports,1,Game,Shounen,12,24,Medium,Low,4.4,9.4,8,Winter,2020,0,7.66,64.0,Average
Toei Animation,Comedy,3,Manga,Shounen,13,24,High,Low,4.53,11.3,5,Fall,2022,0,8.04,83.8,Hit
ufotable,Fantasy,3,Light Novel,Shounen,12,12,Low,Medium,6.35,11.0,9,Spring,2018,1,8.92,82.8,Hit
Madhouse,Action,3,Game,Shounen,13,24,Medium,Low,5.45,0.0,6,Fall,2023,1,7.98,58.2,Average
Diomedea,Psychological,3,Manga,Seinen,12,24,Low,Medium,2.48,7.8,5,Summer,2024,0,2.78,9.4,Flop
A-1 Pictures,Sci-Fi,2,Manga,Seinen,12,24,High,High,4.7,7.9,6,Spring,2015,1,9.61,85.1,Hit
Bones,Sci-Fi,2,Game,Seinen,12,24,Low,Low,8.36,6.9,9,Fall,2020,0,7.95,66.0,Hit
Production I.G,Slice of Life,2,Light Novel,Seinen,26,24,Low,Medium,4.62,9.9,4,Summer,2023,0,4.88,53.5,Flop
Sunrise,Horror,3,Web Novel,Seinen,12,24,Low,Medium,7.26,2.0,9,Spring,2020,0,5.18,60.5,Average
Silver Link,Psychological,2,Original,Seinen,12,24,Medium,Medium,5.68,4.3,5,Summer,2016,1,6.51,71.6,Average
Doga Kobo,Comedy,3,Manga,Shounen,13,24,Medium,Medium,3.9,7.3,10,Fall,2018,0,6.89,83.2,Hit
Silver Link,Fantasy,2,Web Novel,Seinen,13,24,Low,Low,4.33,3.8,4,Summer,2021,0,6.16,73.0,Average
Production I.G,Mecha,2,Game,Seinen,24,24,Medium,Medium,5.63,8.7,8,Winter,2017,0,7.45,86.1,Hit
MAPPA,Sci-Fi,1,Light Novel,Shounen,50,24,Low,Low,5.11,12.2,8,Summer,2019,0,4.96,46.2,Flop
Trigger,Romance,2,Manga,Shounen,24,24,Low,High,6.69,6.8,14,Summer,2021,0,7.83,91.5,Hit
MAPPA,Adventure,3,Original,Shounen,12,24,Medium,High,6.76,7.6,10,Winter,2020,0,9.57,88.4,Hit
Kyoto Animation,Adventure,2,Manga,Josei,12,24,High,Medium,5.05,10.9,11,Spring,2024,0,10.0,84.9,Hit
Sunrise,Sci-Fi,1,Manga,Shoujo,24,12,Low,Medium,3.75,2.5,4,Spring,2022,0,5.07,68.1,Average
Zero-G,Mystery,1,Game,Shoujo,50,24,High,Low,4.42,12.0,3,Winter,2019,1,5.28,46.2,Flop
CloverWorks,Drama,1,Web Novel,Shounen,25,24,Medium,Low,6.71,1.6,10,Spring,2022,0,7.59,100.0,Hit
Kyoto Animation,Supernatural,3,Manga,Shounen,24,24,Low,High,8.59,1.7,9,Spring,2023,1,9.16,91.7,Hit
Pierrot,Horror,1,Original,Seinen,12,24,Low,High,5.19,9.9,8,Summer,2016,0,6.97,83.3,Hit
ufotable,Psychological,1,Game,Shoujo,12,24,Low,Low,8.55,0.7,12,Winter,2024,0,8.93,98.0,Hit
Sunrise,Mecha,1,Light Novel,Shounen,12,12,Low,Low,2.06,0.0,7,Winter,2018,0,5.33,35.7,Flop
A-1 Pictures,Supernatural,2,Game,Shounen,12,12,Medium,High,7.06,7.8,9,Spring,2022,0,5.52,70.6,Average
Doga Kobo,Mecha,1,Original,Shounen,25,24,Medium,Medium,4.75,0.0,3,Summer,2020,0,5.97,67.8,Average
MAPPA,Fantasy,3,Web Novel,Shounen,50,24,Low,Low,7.92,8.8,11,Winter,2019,0,7.72,78.9,Hit
Toei Animation,Fantasy,2,Light Novel,Shoujo,50,24,Low,High,5.33,7.7,6,Winter,2019,0,8.57,76.0,Hit
Madhouse,Sci-Fi,1,Light Novel,Seinen,12,12,Medium,Medium,6.43,7.8,9,Winter,2018,1,8.85,68.6,Hit
Diomedea,Psychological,3,Light Novel,Shoujo,12,24,High,Medium,4.18,5.6,4,Summer,2021,1,5.49,67.9,Average
Pierrot,Sci-Fi,3,Web Novel,Shounen,25,24,Medium,Medium,4.18,8.0,10,Winter,2017,0,7.37,53.2,Average
Diomedea,Mystery,1,Manga,Shounen,13,24,High,Low,5.45,9.0,5,Summer,2021,1,6.89,54.1,Average
Diomedea,Adventure,3,Game,Shounen,25,24,Medium,High,5.74,2.8,7,Spring,2023,0,4.36,36.4,Flop
